config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
zero_winter,1,8,48.0,285.5792236328125,101165.3125,98591.0859375,24.070335388183594,55372.00390625,24.372753143310547
zero_winter,1,9,54.0,285.8638000488281,101166.96875,98594.4375,24.13204002380371,55366.0625,25.094240188598633
zero_winter,1,10,60.0,286.3770446777344,101161.671875,98594.3828125,24.094717025756836,55367.359375,24.807214736938477
zero_winter,1,11,66.0,286.04376220703125,101167.0859375,98597.1796875,24.133251190185547,55371.43359375,25.666383743286133
zero_winter,1,12,72.0,285.5700988769531,101172.6875,98597.9296875,24.102006912231445,55365.0859375,25.3725528717041
zero_winter,1,13,78.0,285.8490295410156,101173.2265625,98599.5859375,24.16813850402832,55359.5390625,26.105966567993164
zero_winter,1,14,84.0,286.3424072265625,101166.7734375,98598.0,24.101558685302734,55361.93359375,25.61044692993164
zero_winter,1,15,90.0,286.0032653808594,101171.359375,98599.2890625,24.11761474609375,55366.97265625,26.137401580810547
zero_winter,1,16,96.0,285.5218811035156,101176.5078125,98598.734375,24.056011199951172,55362.09765625,25.439266204833984
zero_winter,1,17,102.0,285.81622314453125,101176.171875,98598.9296875,24.122177124023438,55357.36328125,26.055667877197266
zero_winter,1,18,108.0,286.3009033203125,101169.2265625,98596.84375,24.075206756591797,55360.69921875,25.644386291503906
zero_winter,1,19,114.0,285.97332763671875,101172.8046875,98597.421875,24.106914520263672,55365.296875,26.446035385131836
zero_winter,1,20,120.0,285.4968566894531,101176.21875,98596.515625,24.08203125,55359.79296875,25.99400520324707
zero_winter,2,0,0.0,285.6632080078125,101169.8828125,98552.78125,23.835636138916016,55374.140625,25.16681671142578
zero_winter,2,1,6.0,285.9205627441406,101163.859375,98561.4375,24.06876564025879,55371.35546875,24.351634979248047
zero_winter,2,2,12.0,286.35736083984375,101155.234375,98567.53125,24.056781768798828,55376.25,23.877819061279297
zero_winter,2,3,18.0,286.05560302734375,101158.140625,98574.28125,24.131486892700195,55380.58203125,24.55938148498535
zero_winter,2,4,24.0,285.58465576171875,101162.2265625,98578.515625,24.101943969726562,55375.84765625,24.16448211669922
zero_winter,2,5,30.0,285.88232421875,101162.71875,98583.8828125,24.13962173461914,55371.7734375,24.804462432861328
zero_winter,2,6,36.0,286.3595275878906,101155.2265625,98585.171875,24.07670783996582,55374.0390625,24.36757469177246
zero_winter,2,7,42.0,286.04998779296875,101159.578125,98589.078125,24.10536003112793,55377.90625,24.930204391479492
zero_winter,2,8,48.0,285.5792236328125,101165.3125,98591.0859375,24.070335388183594,55372.00390625,24.372753143310547
zero_winter,2,9,54.0,285.8638000488281,101166.96875,98594.4375,24.13204002380371,55366.0625,25.094240188598633
zero_winter,2,10,60.0,286.3770446777344,101161.671875,98594.3828125,24.094717025756836,55367.359375,24.807214736938477
zero_winter,2,11,66.0,286.04376220703125,101167.0859375,98597.1796875,24.133251190185547,55371.43359375,25.666383743286133
zero_winter,2,12,72.0,285.5700988769531,101172.6875,98597.9296875,24.102006912231445,55365.0859375,25.3725528717041
zero_winter,2,13,78.0,285.8490295410156,101173.2265625,98599.5859375,24.16813850402832,55359.5390625,26.105966567993164
zero_winter,2,14,84.0,286.3424072265625,101166.7734375,98598.0,24.101558685302734,55361.93359375,25.61044692993164
zero_winter,2,15,90.0,286.0032653808594,101171.359375,98599.2890625,24.11761474609375,55366.97265625,26.137401580810547
zero_winter,2,16,96.0,285.5218811035156,101176.5078125,98598.734375,24.056011199951172,55362.09765625,25.439266204833984
zero_winter,2,17,102.0,285.81622314453125,101176.171875,98598.9296875,24.122177124023438,55357.36328125,26.055667877197266
zero_winter,2,18,108.0,286.3009033203125,101169.2265625,98596.84375,24.075206756591797,55360.69921875,25.644386291503906
zero_winter,2,19,114.0,285.97332763671875,101172.8046875,98597.421875,24.106914520263672,55365.296875,26.446035385131836
zero_winter,2,20,120.0,285.4968566894531,101176.21875,98596.515625,24.08203125,55359.79296875,25.99400520324707
zero_winter,3,0,0.0,285.6632080078125,101169.8828125,98552.78125,23.835636138916016,55374.140625,25.16681671142578
zero_winter,3,1,6.0,285.9205627441406,101163.859375,98561.4375,24.06876564025879,55371.35546875,24.351634979248047
zero_winter,3,2,12.0,286.35736083984375,101155.234375,98567.53125,24.056781768798828,55376.25,23.877819061279297
zero_winter,3,3,18.0,286.05560302734375,101158.140625,98574.28125,24.131486892700195,55380.58203125,24.55938148498535
zero_winter,3,4,24.0,285.58465576171875,101162.2265625,98578.515625,24.101943969726562,55375.84765625,24.16448211669922
zero_winter,3,5,30.0,285.88232421875,101162.71875,98583.8828125,24.13962173461914,55371.7734375,24.804462432861328
zero_winter,3,6,36.0,286.3595275878906,101155.2265625,98585.171875,24.07670783996582,55374.0390625,24.36757469177246
zero_winter,3,7,42.0,286.04998779296875,101159.578125,98589.078125,24.10536003112793,55377.90625,24.930204391479492
zero_winter,3,8,48.0,285.5792236328125,101165.3125,98591.0859375,24.070335388183594,55372.00390625,24.372753143310547
zero_winter,3,9,54.0,285.8638000488281,101166.96875,98594.4375,24.13204002380371,55366.0625,25.094240188598633
zero_winter,3,10,60.0,286.3770446777344,101161.671875,98594.3828125,24.094717025756836,55367.359375,24.807214736938477
zero_winter,3,11,66.0,286.04376220703125,101167.0859375,98597.1796875,24.133251190185547,55371.43359375,25.666383743286133
zero_winter,3,12,72.0,285.5700988769531,101172.6875,98597.9296875,24.102006912231445,55365.0859375,25.3725528717041
zero_winter,3,13,78.0,285.8490295410156,101173.2265625,98599.5859375,24.16813850402832,55359.5390625,26.105966567993164
zero_winter,3,14,84.0,286.3424072265625,101166.7734375,98598.0,24.101558685302734,55361.93359375,25.61044692993164
zero_winter,3,15,90.0,286.0032653808594,101171.359375,98599.2890625,24.11761474609375,55366.97265625,26.137401580810547
zero_winter,3,16,96.0,285.5218811035156,101176.5078125,98598.734375,24.056011199951172,55362.09765625,25.439266204833984
zero_winter,3,17,102.0,285.81622314453125,101176.171875,98598.9296875,24.122177124023438,55357.36328125,26.055667877197266
zero_winter,3,18,108.0,286.3009033203125,101169.2265625,98596.84375,24.075206756591797,55360.69921875,25.644386291503906
zero_winter,3,19,114.0,285.97332763671875,101172.8046875,98597.421875,24.106914520263672,55365.296875,26.446035385131836
zero_winter,3,20,120.0,285.4968566894531,101176.21875,98596.515625,24.08203125,55359.79296875,25.99400520324707
